0;LOCALIDAD
1; ANTONIO NARIÑO 
2; BARRIOS UNIDOS 
3; BOSA 
4; CHAPINERO 
5;CIUDAD BOLIVAR
6;ENGATIVÁ
7; FONTIBÓN 
8;KENNEDY
9;LA CANDELARIA
10; LOS MÁRTIRES 
11;PUENTE ARANDA
12;RAFAEL URIBE URIBE
13;SAN CRISTÓBAL
14;SANTAFÉ
15; SUBA 
16; SUMAPAZ 
17; TEUSAQUILLO 
18;TUNJUELITO
19;USAQUÉN 
20;USME
